surname,variant,variant_source,country,country_source,attested_by,phonetic_skeleton
'Ali,Ali,curated,,,,al
'Ali,AJELLO,sounds,,,,al
'Ali,ALOJA,sounds,,,,al
"*** GEORGINA BRAYLEY *** , aged 20","*** GEORGINA BRAYLEY *** , the Scotswoman",sounds,AR,archive,Lerena, rn brl 
"*** GEORGINA BRAYLEY *** , aged 20","*** GEORGINA BRAYLEY *** , the Scotswoman",sounds,ES,archive,Lerena, rn brl 
"*** GEORGINA BRAYLEY *** , aged 20","*** GEORGINA BRAYLEY *** , the Scotswoman",sounds,UY,archive,Lerena, rn brl 
"*** GEORGINA BRAYLEY *** , the Scotswoman","*** GEORGINA BRAYLEY *** , aged 20",sounds,AR,archive,Lerena, rn brl 
"*** GEORGINA BRAYLEY *** , the Scotswoman","*** GEORGINA BRAYLEY *** , aged 20",sounds,ES,archive,Lerena, rn brl 
"*** GEORGINA BRAYLEY *** , the Scotswoman","*** GEORGINA BRAYLEY *** , aged 20",sounds,UY,archive,Lerena, rn brl 
?,,,IT,archive,Falco,
[,,,IT,archive,Falco,
[BRIGIDO?],Bairéid,sounds,IT,archive,Falco,brd
[BRIGIDO?],Barde,sounds,IT,archive,Falco,brd
[BRUNO?],,,IT,archive,Falco,brn
[S,Z]ORBONE,curated,IT,archive,Falco,s
[VILLA?],Vogel,sounds,IT,archive,Falco,vl
[VILLA?],Vögele,sounds,IT,archive,Falco,vl
[VILLA?],Voegele,sounds,IT,archive,Falco,vl
[VILLA?],Vela,sounds,IT,archive,Falco,vl
A/GADIR,,,PL,register,pesel,agdr
AAB,,,PL,register,pesel,ab
Aabel,Abel,curated,,,,abl
Aabel,Abele,sounds,,,,abl
Aabel,Aubel,sounds,,,,abl
Aabel,Abbel,sounds,,,,abl
Aabel,Abello,sounds,,,,abl
Aadland,Odland,curated,,,,adlnd
Aadland,Ådland,curated,,,,adlnd
AAGTEN,,,PL,register,pesel,agtn
Aaker,Åker,curated,,,,akr
Aaker,Akre,sounds,,,,akr
Aaker,Aakre,sounds,,,,akr
AAKERMAN,,,PL,register,pesel,akrmn
Aakre,Akre,curated,,,,akr
Aakre,Åker,sounds,,,,akr
Aakre,Aaker,sounds,,,,akr
AAMIR,,,PL,register,pesel,amr
Aamodt,Aamot,curated,,,,amdt
Aamodt,Åmodt,curated,,,,amdt
Aamodt,Åmot,curated,,,,amdt
Aamodt,Aamoth,curated,,,,amdt
Aamot,Aamodt,curated,,,,amt
Aamot,Åmot,sounds,,,,amt
Aamot,Aamoth,sounds,,,,amt
Aamoth,Aamodt,curated,,,,amt
Aamoth,Aamot,sounds,,,,amt
Aamoth,Åmot,sounds,,,,amt
AANSTOOT,,,PL,register,pesel,anstt
Aarents,Arnold,curated,,,,arnts
Aarne,Arnold,curated,,,,arn
Aarne,Aron,sounds,,,,arn
Aarne,Aaron,sounds,,,,arn
Aarne,Arne,sounds,,,,arn
Aarne,Arn,sounds,,,,arn
Aarne,Arnau,sounds,,,,arn
Aarne,Arena,sounds,,,,arn
Aarne,ARGENIO,sounds,,,,arn
Aaron,Aron,curated,,,,arn
Aaron,Aarons,curated,,,,arn
Aaron,Ahrens,curated,,,,arn
Aaron,Aarne,sounds,,,,arn
Aaron,Arne,sounds,,,,arn
Aaron,Arn,sounds,,,,arn
Aaron,Arnau,sounds,,,,arn
Aaron,Arena,sounds,,,,arn
Aaron,ARGENIO,sounds,,,,arn
Aaronovich,Aharonovich,curated,,,,arnvc
Aarons,Aaron,curated,,,,arns
Aarons,Arens,sounds,,,,arns
Aarset,Aarseth,curated,,,,arst
Aarseth,Aarset,curated,,,,arst
AARSMAN,,,PL,register,pesel,arsmn
Aarts,Aerts,curated,PL,register,pesel,arts
AARVIK,,,PL,register,pesel,arvk
AASAR,,,PL,register,pesel,asr
Aasland,Åsland,curated,,,,aslnd
AAZAM,,,PL,register,pesel,azm
ABAD,,,PL,register,pesel,abd
ABADA,ABADY,grammar,PL,register,pesel,abd
ABADAN,,,PL,register,pesel,abdn
ABADI,,,PL,register,pesel,abd
ABADOWSKI,,,PL,register,pesel,abdvsk
ABADY,ABADA,grammar,,,,abd
ABADŻIJEW,,,PL,register,pesel,abdzv
ABADŻIJEWA,ABADŻIJEWY,grammar,PL,register,pesel,abdzv
ABADŻIJEWY,ABADŻIJEWA,grammar,,,,abdzv
ABAGYAN,,,PL,register,pesel,abgn
ABAH,,,PL,register,pesel,abh
ABAI,,,PL,register,pesel,ab
ABAID,,,PL,register,pesel,abd
ABAIMOW,,,PL,register,pesel,abmv
ABAJEW,,,PL,register,pesel,abv
ABAKANOWICZ,,,PL,register,pesel,abknvc
ABAKO,,,PL,register,pesel,abk
ABAKUMIEC,,,PL,register,pesel,abkmc
ABAKUMOW,,,PL,register,pesel,abkmv
Abalakov,Abalakow,curated,,,,ablkv
Abalakow,Abalakov,curated,,,,ablkv
ABALEWICZ,,,PL,register,pesel,ablvc
ABALI,,,PL,register,pesel,abl
ABALO,,,PL,register,pesel,abl
ABALOSZEWA,ABALOSZEWY,grammar,PL,register,pesel,ablsv
ABALOSZEWY,ABALOSZEWA,grammar,,,,ablsv
ABANI,,,PL,register,pesel,abn
ABANOBI,,,PL,register,pesel,abnb
ABANOWICZ,,,PL,register,pesel,abnvc
ABAR,,,PL,register,pesel,abr
ABAROWICZ,,,PL,register,pesel,abrvc
ABARZA COFRÉ,,,PL,register,pesel,abrz cfr
ABAS,,,PL,register,pesel,abs
ABASAU,,,PL,register,pesel,abs
ABAŠKIN,,,PL,register,pesel,abskn
ABASOW,,,PL,register,pesel,absv
ABASSY,,,PL,register,pesel,abs
ABASURU,,,PL,register,pesel,absr
ABASZÓW,,,PL,register,pesel,absv
ABASZYN,,,PL,register,pesel,absn
Abate,Abbate,curated,IT,archive,Falco,abt
Abate,Abbate,curated,PL,register,pesel,abt
Abate,Abatte,curated,IT,archive,Falco,abt
Abate,Abatte,curated,PL,register,pesel,abt
Abate,Abbot,sounds,IT,archive,Falco,abt
Abate,Abbot,sounds,PL,register,pesel,abt
Abate,Abbott,sounds,IT,archive,Falco,abt
Abate,Abbott,sounds,PL,register,pesel,abt
Abate,Abott,sounds,IT,archive,Falco,abt
Abate,Abott,sounds,PL,register,pesel,abt
Abate,Abot,sounds,IT,archive,Falco,abt
Abate,Abot,sounds,PL,register,pesel,abt
Abatiello,,,IT,archive,Falco,abtl
ABATORAB,,,PL,register,pesel,abtrb
Abatte,Abate,curated,,,,abt
Abatte,Abbot,sounds,,,,abt
Abatte,Abbott,sounds,,,,abt
Abatte,Abott,sounds,,,,abt
Abatte,Abot,sounds,,,,abt
Abatte,Abbate,sounds,,,,abt
ABAY,,,PL,register,pesel,ab
ABAZARI,,,PL,register,pesel,abzr
ABAŻEWSKA,ABAŻEWSKI,grammar,PL,register,pesel,abzvsk
ABAŻEWSKI,ABAŻEWSKA,grammar,,,,abzvsk
ABAZI,,,PL,register,pesel,abz
ABBÁ,,,PL,register,pesel,ab
ABBAD,,,PL,register,pesel,abd
ABBAGNALE,,,PL,register,pesel,abgnl
ABBAS,,,PL,register,pesel,abs
ABBASI,,,PL,register,pesel,abs
ABBASSI,,,PL,register,pesel,abs
Abbate,Abate,curated,IT,archive,Falco,abt
Abbate,Abate,curated,PL,register,pesel,abt
Abbate,Abbot,sounds,IT,archive,Falco,abt
Abbate,Abbot,sounds,PL,register,pesel,abt
Abbate,Abbott,sounds,IT,archive,Falco,abt
Abbate,Abbott,sounds,PL,register,pesel,abt
Abbate,Abott,sounds,IT,archive,Falco,abt
Abbate,Abott,sounds,PL,register,pesel,abt
